id,name,description,logo
1,Food,Food category,1-food.png
2,Exercise,Exercise category,2-exercise.png
3,Stress,Stress category,3-stress.png
4,Sleep,Sleep category,4-sleep.png
5,Addiction,Addiction category,5-addiction.png
6,Relationship,Relationship category,6-relationship.png
